date_yearmonth,cases,state
2020-01,0,Alabama
2020-02,0,Alabama
2020-03,6129,Alabama
2020-04,125166,Alabama
2020-05,372033,Alabama
2020-06,800287,Alabama
2020-07,1918336,Alabama
2020-08,3355858,Alabama
2020-09,4227298,Alabama
2020-10,1437039,Alabama
2020-01,0,Alaska
2020-02,0,Alaska
2020-03,851,Alaska
2020-04,8231,Alaska
2020-05,12256,Alaska
2020-06,23003,Alaska
2020-07,67633,Alaska
2020-08,154871,Alaska
2020-09,220233,Alaska
2020-10,85182,Alaska
2020-01,6,Arizona
2020-02,29,Arizona
2020-03,6830,Arizona
2020-04,128668,Arizona
2020-05,417110,Arizona
2020-06,1297231,Arizona
2020-07,4105142,Arizona
2020-08,5951480,Arizona
2020-09,6320568,Arizona
2020-10,1993246,Arizona
2020-01,0,Arkansas
2020-02,0,Arkansas
2020-03,3965,Arkansas
2020-04,53571,Arkansas
2020-05,150100,Arkansas
2020-06,402154,Arkansas
2020-07,972426,Arkansas
2020-08,1633930,Arkansas
2020-09,2173272,Arkansas
2020-10,789976,Arkansas
2020-01,14,California
2020-02,285,California
2020-03,55406,California
2020-04,865585,California
2020-05,2476264,California
2020-06,4905111,California
2020-07,11404982,California
2020-08,19168697,California
2020-09,23157818,California
2020-10,7539185,California
2020-01,0,Colorado
2020-02,0,Colorado
2020-03,18603,Colorado
2020-04,264026,Colorado
2020-05,660633,Colorado
2020-06,886415,Colorado
2020-07,1215655,Colorado
2020-08,1642292,Colorado
2020-09,1909117,Colorado
2020-10,667723,Colorado
2020-01,0,Connecticut
2020-02,0,Connecticut
2020-03,14606,Connecticut
2020-04,467204,Connecticut
2020-05,1124193,Connecticut
2020-06,1348657,Connecticut
2020-07,1483675,Connecticut
2020-08,1585462,Connecticut
2020-09,1651324,Connecticut
2020-10,530144,Connecticut
2020-01,0,Delaware
2020-02,0,Delaware
2020-03,1887,Delaware
2020-04,67480,Delaware
2020-05,229386,Delaware
2020-06,312601,Delaware
2020-07,410198,Delaware
2020-08,503506,Delaware
2020-09,572135,Delaware
2020-10,191980,Delaware
2020-01,0,District of Columbia
2020-02,0,District of Columbia
2020-03,2923,District of Columbia
2020-04,70950,District of Columbia
2020-05,215106,District of Columbia
2020-06,291828,District of Columbia
2020-07,345436,District of Columbia
2020-08,407849,District of Columbia
2020-09,441301,District of Columbia
2020-10,140277,District of Columbia
2020-01,0,Florida
2020-02,0,Florida
2020-03,35597,Florida
2020-04,671158,Florida
2020-05,1396018,Florida
2020-06,2637626,Florida
2020-07,9746638,Florida
2020-08,17469880,Florida
2020-09,20108236,Florida
2020-10,6467566,Florida
2020-01,0,Georgia
2020-02,0,Georgia
2020-03,22119,Georgia
2020-04,453331,Georgia
2020-05,1109472,Georgia
2020-06,1734682,Georgia
2020-07,3794129,Georgia
2020-08,6755964,Georgia
2020-09,8427889,Georgia
2020-10,2771168,Georgia
2020-01,0,Guam
2020-02,0,Guam
2020-03,594,Guam
2020-04,20795,Guam
2020-05,34932,Guam
2020-06,35170,Guam
2020-07,39876,Guam
2020-08,51043,Guam
2020-09,88088,Guam
2020-10,33566,Guam
2020-01,0,Hawaii
2020-02,0,Hawaii
2020-03,1474,Hawaii
2020-04,14988,Hawaii
2020-05,19430,Hawaii
2020-06,22303,Hawaii
2020-07,41333,Hawaii
2020-08,156872,Hawaii
2020-09,327696,Hawaii
2020-10,117309,Hawaii
2020-01,0,Idaho
2020-02,0,Idaho
2020-03,2359,Idaho
2020-04,45937,Idaho
2020-05,75057,Idaho
2020-06,116842,Idaho
2020-07,412314,Idaho
2020-08,848552,Idaho
2020-09,1106607,Idaho
2020-10,405183,Idaho
2020-01,10,Illinois
2020-02,59,Illinois
2020-03,33167,Illinois
2020-04,802337,Illinois
2020-05,2822196,Illinois
2020-06,4025869,Illinois
2020-07,4987937,Illinois
2020-08,6477545,Illinois
2020-09,8067391,Illinois
2020-10,2769934,Illinois
2020-01,0,Indiana
2020-02,0,Indiana
2020-03,10152,Indiana
2020-04,292473,Indiana
2020-05,857247,Indiana
2020-06,1241303,Indiana
2020-07,1745006,Indiana
2020-08,2546792,Indiana
2020-09,3290139,Indiana
2020-10,1156362,Indiana
2020-01,0,Iowa
2020-02,0,Iowa
2020-03,2794,Iowa
2020-04,83724,Iowa
2020-05,441186,Iowa
2020-06,731691,Iowa
2020-07,1152156,Iowa
2020-08,1651099,Iowa
2020-09,2312934,Iowa
2020-10,844159,Iowa
2020-01,0,Kansas
2020-02,0,Kansas
2020-03,2408,Kansas
2020-04,55555,Kansas
2020-05,241100,Kansas
2020-06,355114,Kansas
2020-07,663964,Kansas
2020-08,1086757,Kansas
2020-09,1554641,Kansas
2020-10,573360,Kansas
2020-01,0,Kentucky
2020-02,0,Kentucky
2020-03,3398,Kentucky
2020-04,74780,Kentucky
2020-05,234711,Kentucky
2020-06,389689,Kentucky
2020-07,694134,Kentucky
2020-08,1272814,Kentucky
2020-09,1873371,Kentucky
2020-10,693227,Kentucky
2020-01,0,Louisiana
2020-02,0,Louisiana
2020-03,28913,Louisiana
2020-04,625639,Louisiana
2020-05,1061231,Louisiana
2020-06,1436753,Louisiana
2020-07,2696554,Louisiana
2020-08,4228513,Louisiana
2020-09,4777934,Louisiana
2020-10,1534966,Louisiana
2020-01,0,Maine
2020-02,0,Maine
2020-03,2110,Maine
2020-04,22358,Maine
2020-05,52158,Maine
2020-06,84057,Maine
2020-07,112034,Maine
2020-08,129919,Maine
2020-09,148402,Maine
2020-10,49923,Maine
2020-01,0,Maryland
2020-02,0,Maryland
2020-03,8831,Maryland
2020-04,327492,Maryland
2020-05,1190664,Maryland
2020-06,1867000,Maryland
2020-07,2391813,Maryland
2020-08,3103859,Maryland
2020-09,3532754,Maryland
2020-10,1154384,Maryland
2020-01,0,Massachusetts
2020-02,29,Massachusetts
2020-03,34418,Massachusetts
2020-04,977699,Massachusetts
2020-05,2582585,Massachusetts
