state,cases
Alabama,12242146
Alaska,572260
Arizona,20220310
Arkansas,6179394
California,69573347
Colorado,7264464
Connecticut,8205265
Delaware,2289173
District of Columbia,1915670
Florida,58532719
Georgia,25068754
Guam,304064
Hawaii,701405
Idaho,3012851
Illinois,29986445
Indiana,11139474
Iowa,7219743
Kansas,4532899
Kentucky,5236124
Louisiana,16390503
Maine,600961
Maryland,13576797
Massachusetts,19086868
Michigan,15098359
Minnesota,8425219
Mississippi,8233165
Missouri,8680716
Montana,728038
Nebraska,4113037
Nevada,6557166
New Hampshire,1025963
New Jersey,31048463
New Mexico,2846789
New York,73090887
North Carolina,17211831
North Dakota,1302449
Northern Mariana Islands,7043
Ohio,13608167
Oklahoma,5750753
Oregon,2699048
Pennsylvania,18621412
Puerto Rico,3088714
Rhode Island,3097740
South Carolina,11669297
South Dakota,1654112
Tennessee,14931074
Texas,60338543
Utah,5745014
Vermont,240485
Virgin Islands,86775
Virginia,13858704
Washington,8790569
West Virginia,1095387
Wisconsin,9115703
Wyoming,434540
